time,vel_r,cmd_r
125.013,-0.0017918252851814032,0.0
125.033,-0.003722729394212365,0.0
125.053,-0.002774416236206889,0.0
125.073,0.00639131385833025,0.0
125.093,0.009566418826580048,0.0
125.113,-0.001969086937606335,0.0
125.133,0.00013507044059224378,0.0
125.153,0.0020349551923573013,0.0
125.173,0.0007562023820355535,0.0
125.193,-0.0016453603748232122,0.0
125.213,0.0002815750776790081,0.0
125.233,-0.0007702956208959218,0.0
125.253,-0.007189301773905753,0.0
125.273,0.0013180822134017949,0.0
125.293,-0.0005529683548957101,0.0
125.313,-0.0019018740858882661,0.0
125.333,-0.0017363566439598792,0.0
125.353,-0.0007689393823966382,0.0
125.373,0.0001256640243809671,0.0
125.393,-0.0024096779525279994,0.0
125.413,-0.0002919045509770511,0.0
125.433,0.0027447871398180723,0.0
125.453,-0.002555957296863199,0.0
125.473,-0.000931664020754398,0.0
125.493,-0.0012850142084062104,0.0
125.513,-0.0011681069154292343,0.0
125.533,0.0033928870689123873,0.0
125.553,-0.0026285266503691678,0.0
125.573,-0.0030629429966211323,0.0
125.593,-0.000845386879518628,0.0
125.613,-0.001942401984706521,0.0
125.633,0.001988282427191734,0.0
125.653,-0.003338587004691363,0.0
125.673,0.00219666468910873,0.0
125.693,-0.0027662420179694887,0.0
125.713,0.00397624634206295,0.0
125.733,0.0004623367567546665,0.0
125.753,7.225805893540373e-05,0.0
125.773,0.0015750160673633213,0.0
125.793,-0.0017386032268404965,0.0
125.813,-0.0025822883471846576,0.0
125.833,0.002604457549750805,0.0
125.853,-0.0002929876209236682,0.0
125.873,5.059948307462076e-05,0.0
125.893,0.0023543769493699087,0.0
125.913,0.0011241710744798188,0.0
125.933,0.003175072837620974,0.0
125.953,-0.0020003805402666326,0.0
125.973,0.0018856407841667529,0.0
125.993,0.004118158482015133,0.0
126.013,-0.0009254018077626824,0.0
126.033,0.0007368538063019512,0.0
126.053,0.001084878691472113,0.0
126.073,-0.0013923943042755131,0.0
126.093,-0.0007981375092640515,0.0
126.113,-0.0012845208402723067,0.0
126.133,0.004361113533377647,0.0
126.153,-0.0025485150981694456,0.0
126.173,0.0029985704459249973,0.0
126.193,0.0015385835431516181,0.0
126.213,-0.0010537208290770656,0.0
126.233,-0.001258855685591698,0.0
126.253,0.001639083493500948,0.0
126.273,0.0012220174539834254,0.0
126.293,-0.0006399897392839194,0.0
