Time,X_vel_uav,Y_vel_uav,Z_vel_uav,yaw_vel_uav,X_cmd_vel,Y_cmd_vel,Z_cmd_vel,yaw_cmd_vel
0.0,-0.004,0.034,0.009,-0.0065803439356386,0.0,0.0,0.0,0.0
0.1505743713685924,0.0209999999999999,0.009,-0.008,0.0039634546265006,0.0,-0.0,0.0,-0.0
0.351340199860049,0.015,-0.01,-0.013,0.0003118792083114,0.0,-0.0,0.0,-0.0
0.5521060283515056,-0.01,-0.031,-0.019,0.0089456308633089,0.0,-0.0,0.0,-0.0
0.702680399720098,-0.012,-0.014,-0.008,-0.0113658355548977,0.0,-0.0,0.0,-0.0
0.9034462282115546,-0.008,0.003,0.005,-0.0114408489316701,0.0,-0.0,0.0,-0.0
1.1042120567030111,-0.007,-0.006,0.011,0.0016146000707522,0.0,-0.0,0.0,-0.0
1.3049778851944678,-0.003,-0.01,-0.012,-0.0138056967407464,0.0,-0.0,0.0,-0.0
1.5057437136859244,-0.009,-0.002,-0.004,-0.000531333964318,0.0,-0.0,0.0,-0.0
1.7065095421773808,-0.006,0.01,-0.003,-5.3835101425647736e-06,0.0,-0.0,0.0,-0.0
1.9072753706688372,0.009,0.001,0.009,-0.0051963999867439,0.0,-0.0,0.0,-0.0
2.108041199160294,-0.002,-0.038,-0.0409999999999999,-0.0038341844920068,0.0,-0.0,0.0,-0.0
2.3088070276517505,0.002,-0.018,-0.016,-0.0052095581777393,-0.0,0.0,0.0,1.0
2.509572856143208,0.028,-0.008,-0.024,1.0911996364593506,-0.0,0.0,0.0,1.0
2.710338684634664,-0.001,0.002,-0.014,1.147405743598938,-0.0,0.0,0.0,1.0
2.91110451312612,-0.025,-0.009,0.033,1.1395361423492432,-0.0,0.0,0.0,1.0
3.111870341617577,-0.017,0.0,0.031,1.138847589492798,-0.0,0.0,0.0,1.0
3.312636170109033,-0.026,0.013,0.011,1.1400129795074463,-0.0,0.0,0.0,1.0
3.5134019986004903,-0.048,0.049,0.004,1.1662137508392334,-0.0,0.0,0.0,1.0
3.7141678270919463,-0.077,0.036,0.008,1.1469414234161377,-0.0,0.0,0.0,1.0
3.914933655583403,-0.0569999999999999,0.051,0.034,1.1389529705047607,-0.0,0.0,0.0,1.0
4.11569948407486,0.0,0.066,0.055,1.172746181488037,-0.0,0.0,0.0,1.0
4.316465312566317,0.022,0.065,0.019,1.1669400930404663,-0.0,0.0,0.0,1.0
4.517231141057773,0.027,0.087,0.017,1.1750099658966064,-0.0,0.0,0.0,1.0
4.71799696954923,-0.0209999999999999,0.02,0.006,1.1649155616760254,-0.0,0.0,0.0,1.0
4.918762798040686,-0.013,-0.024,-0.033,1.1671442985534668,-0.0,0.0,0.0,1.0
5.119528626532143,0.03,-0.0349999999999999,-0.047,1.169958472251892,-0.0,0.0,0.0,1.0
5.320294455023599,0.0569999999999999,-0.027,-0.005,1.1602787971496582,-0.0,0.0,0.0,1.0
5.521060283515056,0.065,-0.037,-0.02,1.1763808727264404,-0.0,0.0,0.0,1.0
5.721826112006513,0.0699999999999999,-0.028,-0.018,1.151114583015442,-0.0,0.0,0.0,1.0
5.922591940497969,0.064,-0.0209999999999999,-0.03,1.1741859912872314,-0.0,0.0,0.0,1.0
6.123357768989425,0.038,-0.015,-0.024,1.159459948539734,-0.0,0.0,0.0,1.0
6.324123597480882,0.0209999999999999,-0.016,0.008,1.1288264989852903,-0.0,0.0,0.0,1.0
6.524889425972339,-0.008,-0.048,0.001,1.1609344482421875,-0.0,0.0,0.0,1.0
6.725655254463796,-0.003,-0.056,-0.038,1.1616811752319336,-0.0,0.0,0.0,1.0
6.926421082955252,-0.012,-0.039,-0.046,1.1415727138519287,-0.0,0.0,0.0,1.0
